,time,T,density,Y_CH4,Y_O2,Y_CO2,Y_CO,Y_H2O,Y_H2,Y_H,Y_O,Y_OH,Y_H2O2,Y_HO2,Y_CH3,Y_CH3O2H,Y_CH3O2,Y_CH3O,Y_CH2OH,Y_CH2O,Y_HCO,Y_C2H6,Y_C2H5,Y_C2H4,Y_C2H3,Y_N2
365,3.0986743443908202,778.1767876648229,10.618071198325353,0.02476233223111027,0.22293799045078652,1.5243101678131014e-05,0.0013054936072407306,0.002016162043846624,2.4874224909929e-07,5.674587874173143e-13,1.2278046815128217e-12,7.921902502257834e-10,0.0007219772347001582,6.788840155771335e-06,3.289738625181331e-09,1.8305555339449148e-05,5.439547668816868e-06,2.681006255754921e-09,2.531624449779277e-13,0.001183002385735784,1.8078003484387045e-11,3.85342605771977e-08,1.549620703020783e-14,5.1443243053373296e-09,1.6850434397893866e-17,0.7470269657978267
366,3.1013922297840626,778.5379382387225,10.61307284789996,0.0247466095093026,0.22289082317317285,1.565403837430457e-05,0.0013259289608415503,0.00204270686083457,2.5398874943515346e-07,5.818081160984774e-13,1.2576015406726188e-12,8.074031277781902e-10,0.0007300893488274874,6.866236769507441e-06,3.3517972251919587e-09,1.8434150963342785e-05,5.4858668434138785e-06,2.7262837568261e-09,2.5921430794016943e-13,0.0011901306818167296,1.8505762349220687e-11,3.920922612893595e-08,1.6076526930488032e-14,5.270347457717057e-09,1.762509098598284e-17,0.747026965797826
367,3.104110115177305,778.9068817624658,10.607971069197376,0.02473057190962708,0.22284268461453807,1.6079413308864157e-05,0.001346836489403657,0.002069841316229451,2.594036161978514e-07,5.967590979948591e-13,1.2886680193565492e-12,8.231441879942388e-10,0.0007383349720193519,6.945586513236297e-06,3.41629517561686e-09,1.856414549922114e-05,5.533488519905342e-06,2.772978754806491e-09,2.654925826650064e-13,0.001197330518734495,1.8949518666985212e-11,3.990950217814624e-08,1.668918121212011e-14,5.401128477154374e-09,1.8447030959474212e-17,0.7470269657978246
368,3.1068280005705473,779.2839042788967,10.602762194168095,0.024714208118857148,0.22279354004273375,1.6519912413298224e-05,0.001368233540213072,0.002097587457549738,2.649948377410002e-07,6.123477298765646e-13,1.3210815758107862e-12,8.394412448724935e-10,0.0007467178360898455,7.02697376938081e-06,3.483373502415992e-09,1.8695568132447727e-05,5.582472089048295e-06,2.821160352290445e-09,2.7200964986322335e-13,0.0012046039463643992,1.9410147886197224e-11,4.0636586649862956e-08,1.7336618317495523e-14,5.536935300564263e-09,1.931998042463788e-17,0.7470269657978201
369,3.1095458859637897,779.6693074010825,10.597442360080134,0.02469750621306495,0.22274335286282587,1.6976264887398933e-05,0.0013901383993497904,0.002125968545781799,2.707709207688105e-07,6.28612820261644e-13,1.3549258290069428e-12,8.56324081508673e-10,0.0007552418365901839,7.110488065604036e-06,3.5531840149741743e-09,1.882844874561558e-05,5.6328806516203704e-06,2.8709022366255983e-09,2.787787939266856e-13,0.0012119531185688043,1.988858932684288e-11,4.139209599385582e-08,1.8021521881482212e-14,5.678056364530385e-09,2.024803070269009e-17,0.7470269657978158
370,3.112263771357032,780.0634094563736,10.592007495481186,0.024680453613022412,0.2226920844816631,1.7449246719379778e-05,0.001412570360420438,0.0021550091452729038,2.767409339590317e-07,6.455962630426373e-13,1.3902911685357e-12,8.738246273512959e-10,0.0007639110427543229,7.196224486029174e-06,3.6258903440197942e-09,1.896281791941228e-05,5.68478132525099e-06,2.9222830706248868e-09,2.8581428614651656e-13,0.0012193803003642948,2.0385852061406137e-11,4.2177777072088626e-08,1.8746838271928795e-14,5.82480261829562e-09,2.12356815955592e-17,0.7470269657978142
371,3.1149816567502744,780.4665467280522,10.586453304997288,0.02466303703582638,0.22263969416102186,1.793968453002196e-05,0.0014355497991187952,0.0021847352213211556,2.8291455574187994e-07,6.633433423481447e-13,1.4272754350663481e-12,8.919771538839856e-10,0.0007727297081473232,7.284284121311371e-06,3.7016690934095247e-09,1.909870692916134e-05,5.738245572973198e-06,2.9753869211537498e-09,2.9313147710899287e-13,0.0012268878756708961,2.090302143425447e-11,4.299552037817036e-08,1.9515807876276872e-14,5.977509759723911e-09,2.2287890591052075e-17,0.7470269657978148
372,3.1176995421435167,780.8790748056606,10.580775252836727,0.0246452424423114,0.22258613885801132,1.8448459780962835e-05,0.0014590982542901356,0.0022151742463620556,2.8930212676510576e-07,6.819030732573346e-13,1.4659846822232265e-12,9.108184918962278e-10,0.0007817022820860039,7.374774560568674e-06,3.780711126436841e-09,1.9236147727418877e-05,5.793349564545899e-06,3.030303731947609e-09,3.0074689937881506e-13,0.0012344783557047526,2.144126631131821e-11,4.384737478326533e-08,2.0332000763767928e-14,6.1365407263615875e-09,2.341012901910244e-17,0.747026965797815
373,3.120417427536759,781.301370064178,10.57496854474535,0.024627054979464713,0.22253137305036466,1.8976513416852407e-05,0.001483238516716287,0.00224635531636231,2.959147079531423e-07,7.013285837181616e-13,1.506534032068807e-12,9.303882732269294e-10,0.0007908334219620189,7.467810434179465e-06,3.863223008138545e-09,1.9375172919664068e-05,5.850174577964351e-06,3.0871298471766645e-09,3.0867838207730994e-13,0.0012421543881259716,2.2001847167903365e-11,4.4735564122264644e-08,2.1199357449935296e-14,6.302288493454255e-09,2.460844630539351e-17,0.747026965797814
374,3.1231353129300015,781.7338312902848,10.569028108190905,0.024608458917140717,0.2224753485444969,1.952485100513765e-05,0.00150799472670842,0.0022783092788647534,3.027641450011568e-07,7.216775438578494e-13,1.5490486384567935e-12,9.507292006646713e-10,0.0008001280065787524,7.5635140143744986e-06,3.94942862393224e-09,1.951581573860364e-05,5.908807442586002e-06,3.145968593394657e-09,3.1694517903821464e-13,0.0012499187670448782,2.2586125133261752e-11,4.566250592746531e-08,2.2122235660284627e-14,6.475179229833244e-09,2.588954374866509e-17,0.7470269657978122
